idImpianto;Gestore;Bandiera;Tipo Impianto;Nome Impianto;Indirizzo;Comune;Provincia;Latitudine;Longitudine
14269;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;Altro;FAVARA CORSO VITTORIO VENETO;CORSO VITTORIO VENETO  92026;FAVARA;AG;37.308283573197194;13.658229843586014
8015;FLOAN S.R.L.;Q8;Altro;FLOAN S.R.L.;C.da San Benedetto S.P. 15  92026;FAVARA;AG;37.35069028016745;13.61182987689972
33037;LIMBLICI ANTONIO;Q8;Altro;Limblici Antonio;VIA ALDO MORO 97 92026;FAVARA;AG;37.306426398958635;13.648471041525227
33022;MENDOLIA ANTONIO;Pompe Bianche;Altro;mendolia antonio;SP85 sn 92026;FAVARA;AG;37.34720422200081;13.676785860118798
4631;A.NUARA E FIGLI SRL;Pompe Bianche;Strada Statale;Nuara - San Benedetto, Agrigento;Statale 189 della Valle del Platani, Km. 61+400, dir. Palermo 92026;FAVARA;AG;37.34813843492682;13.616244792938232
39716;PETROLCOKE ENERGY S.R.L.;SP Energia Siciliana;Altro;PETROLCOKE ENERGY SRL FAVARA BANDIERA SP;VIA IV NOVEMBRE 47 92026;FAVARA;AG;37.30941098415751;13.656569533826314
35079;SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.;Lukoil;Altro;PIAZZA DELLA VITTORIA - FAVARA;PIAZZA DELLA VITTORIA  92026;FAVARA;AG;37.31943262667844;13.6609360948205
13225;SCARIANO BENEDETTA;SP Energia Siciliana;Altro;SP ENERGIA SICILIANA;VIA FRANCESCO CRISPI 101 92026;FAVARA;AG;37.3202812247021;13.663748660226247
17715;A.NUARA E FIGLI SRL;Lukoil;Altro;SP N.3 KM 13+300 FAVARA;STRADA PROVINCIALE N. 3 KM 13+300  92026;FAVARA;AG;37.36124386528102;13.64222601056099
41348;SERVICE AUTO S.A.S. DI CAVALLARO ILARIA & F.LLI;Agip Eni;Altro;SERVICE AUTO S.A.S. DI CAVALLARO ILARIA & F.LLI;VIALE DELLA VITTORIA 121 92020;GROTTE;AG;37.402025592026675;13.691382184624672
12786;DI BENEDETTO CARBURANTI S.R.L.;Api-Ip;Altro;IP JOPPOLO GIANCAXIO;CONTRADA BORSELLINO STRADA COMUNALE 34-36, 92010;JOPPOLO GIANCAXIO;AG;37.35776540601626;13.556865307730845
40673;COSTANZO CARBURANTI S.R.L.;Pompe Bianche;Altro;Costanzo Carburanti s.r.l.;CONTRADA GUITGIA-LAMPEDUSA SN 92010;LAMPEDUSA E LINOSA;AG;35.500892388423836;12.60155439376831
39889;NAUTILUS MARINE S.R.L.;Pompe Bianche;Altro;NAUTILUS MARINE SRL;LOCALITA' POZZOLANA SN 92010;LAMPEDUSA E LINOSA;AG;35.86357710208189;12.85238653421402
24796;PETROL SERVICE LAMPEDUSA S.R.L.;Pompe Bianche;Altro;PETROL SERVICE LAMPEDUSA S.R.L;Via LungoMare Luigi Rizzo   ;LAMPEDUSA E LINOSA;AG;35.499555123698265;12.606468389935344
12369;DI BENEDETTO CARBURANTI S.R.L.;Esso;Altro; ESSO LICATA, VIA PALMA;VIA PALMA 320 92027;LICATA;AG;37.11150064654609;13.921595513820648
27202;ALAIMO AMEDEO ANGELO;Esso;Altro;ALAIMO;PIAZZA LINARES 00 92027;LICATA;AG;37.10264903123856;13.940131775969348
12667;LIOTTA MARIA ROSA E CO. S.A.S.;Agip Eni;Altro;ENI-LIOTTA MARIA ROSA &CO SAS;VIA GELA (RIFORNIMENTO AGIP)  92027;LICATA;AG;37.10982731810983;13.951735496520996
20954;DE CARO AGOSTINO;Esso;Altro;Esso Tiger Bar;Via Gela s.n.c.;LICATA;AG;37.114686349528775;13.95988404750824
11336;GRACI ROSARIO;Giap;Altro;GIAP;CORSO UMBERTO 117 92027;LICATA;AG;37.10335720101978;13.940623718040115
